hash,msg,is_bugfix,n_files
d6ded0e91bcdd2a8f7a221f6a5552a33fe545359,"Created basic repository structure

git-svn-id: http://code.djangoproject.com/svn/django/trunk@1 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,0
07ffc7d605cc96557db28a9e35da69bc0719611b,"Imported fledgeling Django documentation from private SVN repository


git-svn-id: http://code.djangoproject.com/svn/django/trunk@2 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,7
ed114e15106192b22ebb78ef5bf5bce72b419d13,"Imported Django from private SVN repository (created from r. 8825)


git-svn-id: http://code.djangoproject.com/svn/django/trunk@3 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,114
1cb1d9cd078adea3060742a768ef71f5bafb7f07,"Moved django-docs to just plain docs

git-svn-id: http://code.djangoproject.com/svn/django/trunk@4 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,7
ce079538c66d826be5f0c4260ab4405b7abcbed7,"Added basic structure for django repository

git-svn-id: http://code.djangoproject.com/svn/django/trunk@5 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,4
3c0ee70e7c6b9e40cef611061f7756c80691ee76,"Changed db/backends/postgresql.py to add the password and host params only if they're not blank

git-svn-id: http://code.djangoproject.com/svn/django/trunk@6 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
2fb6c3b845967f8c22baeedf4038c3e488746d26,"Fixed #30 -- django-admin startproject and startapp now ignore directories starting with a dot

git-svn-id: http://code.djangoproject.com/svn/django/trunk@8 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
2e4322123f61160470ef7c879470a364f5f968e7,"Changed many-to-many API to be get_FOO_list instead of get_FOOs

git-svn-id: http://code.djangoproject.com/svn/django/trunk@9 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,8
d3abdd8731962ce40c8d3220ca496e2c5399d02d,"Removed hard-coded Adrian and Jacob in global_settings.ADMINS

git-svn-id: http://code.djangoproject.com/svn/django/trunk@10 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
8c098891e29985a49a4069349ea56990d9a2c30b,"Removed World-Online-specific stuff from django.conf.global_settings

git-svn-id: http://code.djangoproject.com/svn/django/trunk@11 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
ef739404d33e8ea24f106e386575eaf1128a2d14,"Moved doc building script into django website dir

git-svn-id: http://code.djangoproject.com/svn/django/trunk@27 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
